[INFO      ] (Dummy-5   ), 2017/08/08 01:20:25, Acq. 46, Trigger: RaspPi, RecNum: 47
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:26, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:26, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:26, Acq. 47, Trigger: RaspPi, RecNum: 48
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:27, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:27, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:27, Acq. 48, Trigger: RaspPi, RecNum: 48
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:28, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:28, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:28, Acq. 49, Trigger: RaspPi, RecNum: 49
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:28, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:29, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:29, Acq. 50, Trigger: RaspPi, RecNum: 50
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:30, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:35, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:35, Acq. 51, Trigger: RaspPi, RecNum: 51
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:36, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:42, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:42, Acq. 52, Trigger: RaspPi, RecNum: 52
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:43, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:43, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:43, Acq. 53, Trigger: RaspPi, RecNum: 53
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:44, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:45, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:45, Acq. 54, Trigger: RaspPi, RecNum: 54
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:46, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:46, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:46, Acq. 55, Trigger: RaspPi, RecNum: 55
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:47, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:48, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:48, Acq. 56, Trigger: RaspPi, RecNum: 56
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:49, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:49, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:49, Acq. 57, Trigger: RaspPi, RecNum: 57
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:50, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:51, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:51, Acq. 58, Trigger: RaspPi, RecNum: 58
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:51, Ready
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:52, Acquiring
[INFO      ] (Dummy-5   ), 2017/08/08 01:20:52, Acq. 59, Trigger: RaspPi, RecNum: 59
[DEBUG     ] (Dummy-5   ), 2017/08/08 01:20:53, Ready
